##### MuCjam al-buldan 
الآبار	بِئْر
لبنة	بُنّ,لِبْنَة,لِبْن,لَبِنَة,لاب,لَبَن
لبوان	NOTFOUND
لبون	لَبِنَة,لَبُون,بَون
لبيرى	بِيرِي,لِيبِيرِيّ
لبينة	بَيِّنَة,بَيَّن,بَيْنَ,بَيِّن,لَبَّى
اللبيين	NOTFOUND
لتنكشة	نَكَش-َِ
لثلث	ثُلْث,ثَلَّث
لثجة	NOTFOUND
لجأ	لَجَّأ,لَجَأ-َ
لجاة	جاه
اللجاة	NOTFOUND
لجم	لَجَّم,جَمّ,لَجَم,جَمّ-ُِ,لِجام,لَجْم
اللجم	لِجام,لَجْم
لجنياته	جَنْي
لجان	جانِي,لَجْنَة,جان
اللجون	NOTFOUND
لحاء	لِحاء,حاء
لحج	لَحَج,حَجّ
لحظة	لَحْظَة,حَظّ,لَحَظ-َ,لَحْظ
لحف	لِحْف,حَفّ,لِحاف,حَفّ-ِ,لَحَف-َ
لحوظ	NOTFOUND
لحيان	حَيّ,لَحْي
اللحيان	لَحْي
لحيان	حَيّ,لَحْي
لحيظ	NOTFOUND
اللخ	NOTFOUND
لد	أَلَدّ,لِدّ,لَدّ
اللدمان	NOTFOUND
لرت	رُتّ
اللر	NOTFOUND
لرقة	رَقّ,رِقّ,رِقَّة
لسعى	لَسْع,سَعَى-َ,لَسِيع,سَعْي
لسلسى	سَلِس,سَلَس
لسنونة	سَنا
اللسان	لِسان
لسيس	NOTFOUND
لشبونة	لِشْبُونَة
لصاف	صافِي
لصبين	صَبِي-َ,صَبَّى
لصف	صَفّ
لصوب	صَوْب,صَوَّب
اللطاط	NOTFOUND
لطمين	طَمَى-ِ
لظى	لَظِي-َ,لَظَى
لعباء	عَباء
لعبا	عَبا,لَعِب-َ,عَبّ,لَعْب
لعس	عَسّ
لعلع	لَعْلَع
لغابر	غابِر
لغاط	NOTFOUND
لغوى	غَوَى-ِ,لَغْو,غَوِي-َ,لُغَوِيّ,غَوَّى
لفات	فات,لَفَّة,لَفات
اللفاظ	NOTFOUND
لفت	فَتّ,أَلْفَت,لَفَت-ِ,لاف,لِفْت,فات,لَفْت,لَفّ,لَفَّت
لفتوان	NOTFOUND
لفلف	لَفْلَف
لفوان	NOTFOUND
لقاع	قاع
اللقاطة	لُقاط
لقان	قانِئ,قانِي
لقرشان	قِرْش
لقط	قِطّ,لُقْطَة,لَقَط,قَطّ,لَقَّط
لقف	قَفّ,لَقْف,لَقِف-َ
لقنت	لَقِن-َ,لَقَّن,قَنَى-ِ,قَنا,قَنَت
اللقيطة	لَقِيط
اللكاك	NOTFOUND
اللكام	NOTFOUND
لكان	كان,لَكّ
لكز	لَكَز,كَزّ,لَكِز,لَكْز,كُزّ
لك	لِ-,لُكّ,لَكّ
اللكمة	لَكْمَة
لماية	NOTFOUND
لمطة	مَطّ
اللمعية	NOTFOUND
لمغان	مَغْنَى
لنبان	أَبان
لنجوية	NOTFOUND
اللوى	لِوَى,لَوَى,لَيَّة
اللواسي	NOTFOUND
لواتة	لاوِي,وات
اللوالجان	NOTFOUND
لوان	NOTFOUND
لوبياباذ	NOTFOUND
لوبة	وَبَه-َ,وَبْه
لوبيا	لُوبِياء
لوبية	NOTFOUND
اللوح	لَوْح
لوذ	NOTFOUND
لوخ	NOTFOUND
لوذان	NOTFOUND
اللورجان	NOTFOUND
اللور	لُور
لوردجان	NOTFOUND
لورقة	وَرَق,وَرَّق
اللوزة	لَوْز
اللوزية	لَوْزِيّ
لوشة	NOTFOUND
اللوقة	NOTFOUND
لوكر	وَكْرَة,وَكْر,وَكَّر
لولخان	NOTFOUND
لؤلؤة	لُؤْلُؤ
لوهور	NOTFOUND
لوية	NOTFOUND
لهاب	هاب-َ,لُهاب,لَهْبان
اللهابة	NOTFOUND
لهاور	NOTFOUND
اللهباء	NOTFOUND
اللهواء	NOTFOUND
اللهاله	NOTFOUND
لهيا	لَهِي-َ,لُهِيّ,لَهَّى
اللهيب	لَهِيب
اللهيماء	NOTFOUND
لهيم	هَيَّم,هائِم
ليانجل	NOTFOUND
الليث	لَيْث
الليط	NOTFOUND
ليع	وَعَى-ِ
ليلش	NOTFOUND
ليلون	لَوَّن
ليلى	لَيْلَى,وَلِي-ِ,لَيْل,لَيْلِيّ
اللين	لِين,لَيِّن
لين	وَنَى-ِ,يِن,لِين,لَيَّن,لَيِّن
لينة	نَها,وَنَى-ِ,يِن,لِين,لَيَّن,لَيِّن,نَهَى-ِ,أَنْهَى
ليموسك	NOTFOUND
الليمة	NOTFOUND
لية	وَهَى-ِ,لَيّ,لَيَّة
مآب	مَآب
المآثب	NOTFOUND
مأبد	NOTFOUND
الماءتين	NOTFOUND
المئبر	مِئْبَر
مابرسام	NOTFOUND
المأتمة	مَأْتَمَة
ماتيرب	NOTFOUND
المأثول	NOTFOUND
ماجان	NOTFOUND
ماجج	NOTFOUND
ماجد	ماجِد
المأجل	NOTFOUND
ماجرم	NOTFOUND
ماجندان	NOTFOUND
ماجن	ماجَن,ماجِن
ماخان	NOTFOUND
ماخ	NOTFOUND
ماخوان	NOTFOUND
ماذران	NOTFOUND
ماذرايا	NOTFOUND
ماذانكت	NOTFOUND
ماذروستان	NOTFOUND
ماربانان	NOTFOUND
مأرب	مَأْرِب,مَأْرَب
مارث	NOTFOUND
مارد	مارِد
ماردة	مارِد
ماردين	مارِد
مارشك	NOTFOUND
مارمل	NOTFOUND
ماروان	NOTFOUND
مارية	مارّ
مازج	مازَج
مازر	NOTFOUND
المازحين	مازِح
مازل	NOTFOUND
المأزمان	NOTFOUND
مازر	NOTFOUND
مازندران	NOTFOUND
مازن	مازِن
ماسبذان	NOTFOUND
ماستي	ماس,ماسّ
ماسح	ماسَح,ماسِح
ماسخ	NOTFOUND
ماسط	NOTFOUND
ماسكان	NOTFOUND
ماسكنات	NOTFOUND
ماسل	NOTFOUND
ماسوراباذ	NOTFOUND
ماشان	NOTFOUND
ماشية	ماشِيَة,ماشِي
ماشتكين	NOTFOUND
الماطرون	NOTFOUND
ماعزة	ماعِز,ماعِزَة
ماغرة	NOTFOUND
ماقلاصان	NOTFOUND
ماكسين	NOTFOUND
مالان	NOTFOUND
مالبان	NOTFOUND
مالطة	مالْطا
مالقة	مالَقَة,مالَق
المالكية	مالِكِيَّة,مالِكِيّ
مالين	NOTFOUND
مامطير	NOTFOUND
المأمونية	NOTFOUND
ماند	وَدَى-ِ
ماندكان	NOTFOUND
مانقان	NOTFOUND
مانق	وَقَى-ِ
ماوان	NOTFOUND
ماوانة	NOTFOUND
ماوشان	NOTFOUND
ماوين	NOTFOUND
ماوية	مائِيّ,مائِيَّة
ماهان	NOTFOUND
ماهياباذ	NOTFOUND
ماهيان	مائِيّ
مائد	مائِد
مايدشت	NOTFOUND
مائر	NOTFOUND
مائق	NOTFOUND
مايمرغ	مَرَّغ,أَمْرَغ
مائين	NOTFOUND
المبارك	مُبارَك
المباركة	مُبارَكَة,مُبارَك
المباركية	NOTFOUND
مبايض	NOTFOUND
مبرك	NOTFOUND
مبركان	NOTFOUND
مبرة	مَبَرَّة
مبعوق	NOTFOUND
مبلت	NOTFOUND
مبهل	NOTFOUND
مبين	مُبِين,مُبَيِّن
متالع	NOTFOUND
المتثلم	مُتَثَلِّم
متريس	NOTFOUND
متلجتم	NOTFOUND
متن	مَتْن,مَتَن,مَتَّن,مات
متوث	NOTFOUND
المتوكلية	NOTFOUND
متيجة	NOTFOUND
المثاني	NOTFOUND
مثر	NOTFOUND
مثعلب	NOTFOUND
مثعر	NOTFOUND
مثقب	NOTFOUND
المثقب	NOTFOUND
المثل	مِثْل,مَثَل
المثلم	NOTFOUND
المثناة	مُثَنَّى
مثوب	NOTFOUND
مثوة	NOTFOUND
مجاح	NOTFOUND
المجاز	مُجاز,مَجاز
المجازة	مُجاز
مجالخ	NOTFOUND
مجانة	مِجَنّ,مَجّان,ماجِن,مَجانَة
المجتبية	NOTFOUND
مجبست	NOTFOUND
مجداباذ	NOTFOUND
مجدل	مَجْدَل
مجدليابة	NOTFOUND
مجدوان	NOTFOUND
مجدول	مَجْدُول
مجدون	مُجْدِي,مُجِدّ
المجدية	مُجْدِي,مَجْدِيّ
مجذونية	NOTFOUND
مجر	مَجَرّ,مَجَر
المجرة	NOTFOUND
مجريط	مَجْرِيط
المجزل	NOTFOUND
مجسد	مُجَسَّد
المجمر	NOTFOUND
المجمعة	مُجَمَّع,مُجْمَع,مُجَمِّع
مجنب	NOTFOUND
مجنح	مُجَنَّح
مجنقون	NOTFOUND
مجنة	مِجَنّ,ماج,مَجَن
المجيث	NOTFOUND
مجيرة	مُجِير
المجيمر	NOTFOUND
محا	مَحا,مُحّ,مَحّ
المحالب	NOTFOUND
المحاقرة	NOTFOUND
محبل	NOTFOUND
محبلة	NOTFOUND
محتد	مُحْتَدّ,مَحْتِد
محجر	مَحْجَر,مَحْجِر
محجن	مِحْجَن
المحجة	مَحَجَّة
المحدث	مُحْدَث
المحدثة	مُحْدَث
المحدود	مَحْدُود
محراج	NOTFOUND
المحرق	مَحْرَق,مُحْرَق,مُحَرِّق
المحرقة	مَحْرَقَة,مُحَرِّق,مُحْرَق
محرمة	مَحْرَم,مَحْرَمَة,مُحَرَّم
المحروم	مَحْرُوم
محريط	NOTFOUND
محسر	NOTFOUND
المحصب	NOTFOUND
محصن	مُحَصَّن,مُحْصَن,مَحَّص,مَحَص-َ,مُحْصِن
محضر	مُحَضَّر,مَحْضَر,مُحَضِّر
محضرة	مُحَضَّر,مَحْضَر,مُحَضِّر
محضوراء	NOTFOUND
المحضة	NOTFOUND
المحلبيات	NOTFOUND
المحلبية	NOTFOUND
محلم	NOTFOUND
المحلة	مَحَلَّة
المحلة	مَحَلَّة
محمداباذ	NOTFOUND
المحمديات	مُحَمَّدِيّ
المحمدية	مُحَمَّدِيّ
المحمدية	مُحَمَّدِيّ
محمر	مُحَمَّر
محمة	مِحَمّ
المحمة	NOTFOUND
محنب	NOTFOUND
محنة	ماح-ِ,مَحَن-َ,مِحْنَة
محواش	NOTFOUND
محورة	مِحْوَر,مُحَوَّر,مَحْوَر
المحول	مُحَوِّل
المحو	مَحْو
محياه	مَحَّى
المحيصر	NOTFOUND
محيص	مَحِيص
محيلات	مُحِيل
المحيلية	NOTFOUND
المخا	مُخا
المخابط	مِخْبَط
مخاشن	NOTFOUND
مخايل	مَخِيلَة
المختار	مُخْتار
المختارة	مُخْتار
مختاران	مُخْتار
مخدرة	مُخَدَّر,مُخَدِّر
المخراف	NOTFOUND
مخرفة	مُخَرِّف,مَخْرَفَة
المخرفين	مُخَرِّف
المخرم	مُخَرَّم
مخرمة	مُخَرَّم
مخرىء	NOTFOUND
مخضوراء	NOTFOUND
مخطط	مُخَطِّط,مُخَطَّط
مخفق	NOTFOUND
المخلدية	NOTFOUND
المخلفة	مُخَلَّف
مخمد	NOTFOUND
مخمر	مُخَمَّر
مخمسة	مُخَمَّس
المخمص	NOTFOUND
مخيض	مَخِيض
مخيط	مِخْيَط,مُخَّيْط
مخيل	مُخِيل
المخيم	مُخَيَّم
مداخل	مَدْخَل
المدار	مَدار
مدالة	NOTFOUND
مدام	مُدام,مَدام
المدان	مُدان
المدائن	مَدائِن,مَدِينَة
المدجج	مُدَجَّج
مدبج	مُدَبَّج
المدراء	مُدِير
مدرى	مُدِرّ,مِدْرَى,مَدَر
المدراة	مِدْراة
مدران	مُدِرّ
مدرج	مُدْرَج,مَدْرَج,مُدَرَّج
مدر	مُدِرّ,مَدَر
المدر	مُدِرّ,مَدَر
المدرة	مُدِرّ,مَدَرَة,مِدْرَه,مِدْراة
مدفار	NOTFOUND
مدرك	مُدِرّ,مُدْرِك,مَدَر
المدركة	مُدْرِك
مدع	مُدَّعِي
مدعا	NOTFOUND
المدلاء	NOTFOUND
المدور	مُدَوَّر
مدلين	مُدِلّ
مديانكث	NOTFOUND
المديبر	NOTFOUND
المديدان	مَدِيد
مدين	مُدِين,مَدِين
المذاد	NOTFOUND
المذار	NOTFOUND
المذارع	NOTFOUND
المذاهب	مَذْهَب
مذحج	NOTFOUND
المذر	مَذِر,مَذَر
المذرى	مِذْرَى
مذر	مَذِر-َ,مَذَّر,مَذِر,مَذَر
مذعر	NOTFOUND
مذعى	NOTFOUND
مذفار	NOTFOUND
المذنب	مُذَنَّب,مُذْنِب
مذود	مِذْوَد
مذيامجكث	NOTFOUND
مذيانكن	NOTFOUND
مذيح	NOTFOUND
المذيخرة	NOTFOUND
مذينب	NOTFOUND
مرآة	مَرْء,مِرْآَة,مَرْأَى
المرابد	NOTFOUND
مرابض	مَرْبِض
المراح	مِراح,مُراح,مَراح
المراحضة	NOTFOUND
مراخ	NOTFOUND
مراد	مُراد,مارِد,مَراد,مَرّاد
المرار	مِرار
مرازم	NOTFOUND
المراضان	NOTFOUND
المراض	NOTFOUND
مراغة	NOTFOUND
مراقية	مِرْقاة
المراقب	مُراقَب,مِرْقَب,مُراقِب,مَرْقَب
المراكب	مَرْكَب
مراكش	مَرّاكِش,مَرّاكُش
مرامر	NOTFOUND
مران	مُرّ,مِران
المران	مِران,مُرّ
مرانة	مِران
المراوزة	NOTFOUND
مراهط	NOTFOUND
مرأة	مَرْأَة,مَرْء
المرايض	NOTFOUND
المرايغ	NOTFOUND
مرباط	NOTFOUND
مربالا	NOTFOUND
مربخ	NOTFOUND
المربد	مُرَبَّد
المربع	مُرَبَّع,مَرْبَع
مربع	مُرَبَّع,مَرْبَع
مربله	NOTFOUND
مربوط	مَرْبُوط
المربوع	مَرْبُوع
مربولة	NOTFOUND
مربيطر	NOTFOUND
مرت	مار,مار-ِ,مَرّ
مرتج	مُرْتَجّ
المرتاحية	NOTFOUND
مرتحوان	NOTFOUND
المرتمى	NOTFOUND
مرج	مَرْج,مَرَج
مرجبى	NOTFOUND
مرجح	مَرْجَح,مُرَجِّح,مُرَجَّح
مرجم	NOTFOUND
مرحب	مَرْحَب,مُرَحِّب
مرحض	NOTFOUND
مرجيق	NOTFOUND
مرحيا	NOTFOUND
مرخة	مَرَخ-َ,مَرْخ,مَرِخ,مَرَّخ
المرختان	مَرِخ
مرخ	مَرَخ-َ,مَرْخ,مَرِخ,مَرَّخ
مرداء	مَرِيد,أَمْرَد
مردا	مَرَّد,مَرَدّ,مَرَد,أَمْرَد
مردان	مَرَدّ
المردات	NOTFOUND
المردمة	NOTFOUND
مر	مَرّ,مُرّ
مر	مَرّ,مُرّ
المر	مَرّ,مُرّ
مرز	مَرَزّ
المرزى	NOTFOUND
مرزنكى	NOTFOUND
مرزوها	NOTFOUND
مرس	مَرْس,مَرِس,مَرَس
مرست	مَرَس
المرسلية	مُرْسَلِيَّة
مرسية	مَرِس,مُرْسِيَة
مرشانة	NOTFOUND
مرصفا	NOTFOUND
المرعدة	NOTFOUND
مرعش	NOTFOUND
المرغابان	NOTFOUND
مرغاب	NOTFOUND
المرغاب	NOTFOUND
مرغبان	NOTFOUND
مرغبون	NOTFOUND
مرغريطة	NOTFOUND
مرغة	مَرَّغ
مرغينان	NOTFOUND
مرفق	مِرْفَق,مُرْفَق
المرقب	مِرْقَب,مَرْقَب
المرقبة	مَرْقَب
المرقدة	مُرَقِّد
مرق	مَرَق,مَرَّق
مرقية	NOTFOUND
مركلان	NOTFOUND
مركوب	مَرْكُوب
مركوز	NOTFOUND
مركه	NOTFOUND
مركيش	NOTFOUND
مرماجنة	NOTFOUND
المرمى	مَرْمَى,مَرْمِيّ
مرمى	مَرْمَى,مَرْمِيّ
مرمل	NOTFOUND
مرند	NOTFOUND
مروان	مَرْوان
المروان	مَرْوان
المروت	NOTFOUND
المروحة	مِرْوَحَة
المرود	مِرْوَد
مروذ	NOTFOUND
مروراة	NOTFOUND
المروة	مُرُوَّة,مَرْوَة
مريجز	NOTFOUND
مريح	مُرِيح,مِرِّيح
مريخ	مِرِّيخ
المريداء	NOTFOUND
مريد	مَرِيد,مُرِيد
المرير	مَرِير
المريرة	مَرِيرَة,مَرِير
المريزجان	NOTFOUND
المريسة	مَرِيسَة
مريسة	مَرِيسَة
المريسيع	NOTFOUND
المريط	مَرِيط
مريع	مَرِيع,مُرِيع
مريفق	NOTFOUND
مرين	مُرّ
مريمين	NOTFOUND
مرين	مُرّ
مريوط	NOTFOUND
المرية	مُرْيَة
المزاج	مِزاج
مزاحم	مُزاحِم
المزاهر	مَزاهِر
مزج	مَزَج,مَزْج
المزدرع	NOTFOUND
المزدلفة	NOTFOUND
المزدقان	NOTFOUND
مزدقان	NOTFOUND
المزرفة	NOTFOUND
مزرنكن	NOTFOUND
مزرين	مُزْرِي,مُزْرَى
مزن	مُزْن,ماز-ِ
مزنوى	NOTFOUND
المزون	NOTFOUND
المزهد	NOTFOUND
المزة	لَمَز,مَزَّة
مزيد	مَزِيد
المزيرعة	NOTFOUND
المزيرين	NOTFOUND
المسات	NOTFOUND
المسامعة	NOTFOUND
مسانة	مِسَنّ
مسبر	مِسْبَر
المستجار	NOTFOUND
المستحيرة	NOTFOUND
المستراد	مُسْتَراد
المستريون	NOTFOUND
المستشرف	مُسْتَشْرَف
المستنج	NOTFOUND
المستوى	مُسْتَوَى,مُسْتَوِي
مستينان	NOTFOUND
المسجدان	مَسْجِد
المسحاء	مَسِيح
مسحلان	مِسْحَل
المسد	مَسَد
مسرابا	NOTFOUND
مسرقان	NOTFOUND
المسرقانان	NOTFOUND
مسروح	NOTFOUND
مسطاسة	NOTFOUND
مسطح	مُسَطَّح
مسعط	مِسْعَط
المسعودة	مَسْعُود
مسفرا	مُسْفِر
المسفلة	NOTFOUND
مسقط	مَسْقَط
مسكر	مُسَكَّر,مُسْكِر
مسكن	مُسَكِّن,مَسّ,مَسْكَن,مَسَّك,مَسَك,مَسّ-َ
مسكة	مَسْك,مَسَّك,مُسْكَة,مِسْكَة,مِسْك,مَسَك,مَسْكَة
مسكى	مَسْك,مِسْك
المسلح	مُسَلِّح,مُسَلَّح
مسلح	مُسَلِّح,مُسَلَّح
مسلحة	مُسَلِّح,مُسَلَّح
مسلوق	مَسْلُوق
مسلية	مُسَلِّي
المسمارية	مِسْمارِيّ
مسنان	مِسَنّ,مُسِنّ
المسناة	مُسَنّاة
مسور	مُسَوَّر
مسوس	مُسَوِّس
مسولا	NOTFOUND
المسيب	NOTFOUND
مسيحة	مَسِيح,مُسَيَّح
المسيلة	مُسَيِّل,مُسِيل
مسينان	NOTFOUND
مسيني	NOTFOUND
مشاحج	NOTFOUND
مشار	مُشار
المشارف	مَشْرَف
المشاش	NOTFOUND
المشافر	مِشْفَر
مشان	NOTFOUND
المشترك	مُشْتَرَك,مُشْتَرِك
مشتلة	مَشْتَل
مشتول	NOTFOUND
مشحاذ	NOTFOUND
مشحلا	NOTFOUND
مشخرة	NOTFOUND
مشرجة	NOTFOUND
مشرد	مُشَرَّد
مشرف	مُشَرِّف,مُشْرِف,مُشَرَّف,مَشْرَف
المشرق	مُشْرِق,مَشْرِق
المشرق	مُشْرِق,مَشْرِق
مشرق	مُشْرِق,مَشْرِق
مشرقين	مُشْرِق
مشروح	NOTFOUND
مشروق	NOTFOUND
مشريق	NOTFOUND
مشعل	مِشْعَل,مَشْعَل
مشغرى	NOTFOUND
المشقر	NOTFOUND
المشقق	مُشَقَّق
مشقلقيل	NOTFOUND
مشكاذين	NOTFOUND
مشكان	NOTFOUND
مشكويه	NOTFOUND
المشلل	NOTFOUND
المشوكة	NOTFOUND
المشيرب	NOTFOUND
المصامة	NOTFOUND
المصانع	مَصْنَع
المصامدة	NOTFOUND
المصحبية	NOTFOUND
مصراثا	NOTFOUND
المصران	مُصِرّ,مَصِير
مصر	مِصْر,مُصِرّ
مصقلاباذ	NOTFOUND
مصقلة	مِصْقَلَة
مصلحكان	NOTFOUND
مصلوق	NOTFOUND
المصلى	مُصَلِّي,مُصَلَّى,مَصْلِيّ
مصنعة	مُصَنِّع,مَصْنَع,مُصَنَّع
المصنعتين	مُصَنِّع,مُصَنَّع
مصياب	NOTFOUND
المصيخ	NOTFOUND
مصيرة	مَصِيرَة,مَصِير
مصيل	NOTFOUND
المضارج	NOTFOUND
المضاجع	مُضاجِع,مَضْجَع
المضاعة	NOTFOUND
المضجع	مَضْجَع,مُضَّجَع
المضل	مُضِلّ
المضمار	مِضْمار
مضنونة	NOTFOUND
المضياح	NOTFOUND
المضياع	NOTFOUND
المضياعة	NOTFOUND
المضيح	NOTFOUND
المضبيق	NOTFOUND
المضيقة	NOTFOUND
المطابخ	مَطْبَخ
المطاحل	NOTFOUND
مطارب	NOTFOUND
مطار	مَطار
مطارة	مَطار
مطاره	مَطار
المطارد	مُطارِد
المطافل	NOTFOUND
المطالي	NOTFOUND
مطامير	NOTFOUND
مطر	مَطِر,مَطَر,مُطْرِي
مطرق	مِطْرَق,مُطْرِق
المطرية	مُطْرِي
مطعم	مَطْعَم,مُطَعَّم
المطلى	NOTFOUND
مطلح	NOTFOUND
المطلع	مُطَّلَع,مُطَّلِع,مَطْلَع
مطلوب	مَطْلُوب
مطمورة	مَطْمُورَة,مَطْمُور
مطوعة	مُطَوِّع
المطهر	مَطْهَر,مُطَهِّر,مُطَهَّر
مطيرة	مُطَيْر,مَطِير
مطيطة	NOTFOUND
مظعن	NOTFOUND
مظللة	مُظَلِّل
مظلم	مُظْلِم
مظلومة	مَظْلُوم
مظهران	مَظْهَر,مُظَهِّر
مظة	NOTFOUND
المعا	أَلْمَع
المعابل	NOTFOUND
معاذ	مَعاذ
معاذة	مَعاذ
معافر	NOTFOUND
معان	مُعانِي,مَعْنَى
المعانيق	NOTFOUND
معاهر	NOTFOUND
معبر	مُعَبَّر,مَعْبَر,مُعَبِّر
معتق	مُعَتَّق,مُعْتِق
المعدن	مُعَدِّن,مَعْدِن
المعرسانيات	NOTFOUND
معراثا	NOTFOUND
المعرس	NOTFOUND
معرش	NOTFOUND
المعرف	NOTFOUND
المعرفة	مَعْرِفَة
المعرقة	مُعْرِق,مُعَرِّق,مُعَرَّق
المعركة	مَعْرَكَة
معروف	مَعْرُوف
المعشوق	مَعْشُوق
المعصب	NOTFOUND
معصوب	مَعْصُوب
معظم	مُعَظَّم,مُعْظَم
معقر	NOTFOUND
معقلة	مَعْقِل
المعلاة	مُعَلَّى,مَعْلاة
معلا	مُعَلّ,مُعَلّا
معلشايا	NOTFOUND
معلق	مُعَلَّق,مُعَلِّق
معلولا	مَعْلُول
معليا	مُعَلَّى
معمراش	NOTFOUND
معمران	مُعَمَّر
معمر	مُعَمَّر
المعمل	مَعْمَل
المعمورة	مَعْمُور
معنق	NOTFOUND
المعنية	مَعْنِيّ
معوز	مُعْوِز
معولة	مِعْوَل,مُعَوَّل,مُعَوِّل
معونة	مَعُونَة,مَعا
معيط	NOTFOUND
معين	مُعَيَّن,مَعِين,مُعِين
المعينة	مُعَيَّن,مُعِين
المعي	مِعَى,أَلْمَعِيّ,أَلْمَع,مَعْي
المعيي	أَلْمَعِيّ,مُعْيِي,مُعْيَى
مغارب	مَغْرِب
مغار	مَغار
المغاسل	مَغْسَل
مغام	NOTFOUND
المغرب	مَغْرِب,مُغَرَّب
مغرة	مُغْرَة,مَغَر
مغز	NOTFOUND
المغسل	مِغْسَل,مَغْسَل
المغسلة	مَغْسَلَة,مِغْسَلَة
مغكان	NOTFOUND
المغمس	NOTFOUND
مغنان	مُغِنّ
المغنقة	NOTFOUND
مغون	NOTFOUND
مغونة	NOTFOUND
المغيث	مُغِيث
المغيثة	NOTFOUND
المغيزل	NOTFOUND
مغيلة	NOTFOUND
مفتح	مُفَتِّح
المفترض	مُفْتَرَض
المفجر	NOTFOUND
مفحل	NOTFOUND
المقاد	NOTFOUND
مقاريب	مِقْراب
مقاس	مَقاس
المقاعد	مَقْعَد
المقام	مَقام,مِقَمَّة,مُقام
مقامي	مَقام,مِقَمَّة,مُقام
مقتد	NOTFOUND
المقترب	مُقْتَرِب
مقد	مِقَدّ
المقدس	مَقْدِس,مُقَدِّس,مُقَدَّس
المقدسة	مُقَدِّس,مُقَدَّس
مقدشو	NOTFOUND
مقذ	NOTFOUND
مقذونية	NOTFOUND
مقرى	مَقَرّ,مِقْرَى
مقراة	مَقَرّ,مِقْرَى
المقرانة	NOTFOUND
مقري	مَقَرّ,مِقْرَى
مقر	مَقَرّ
المقر	مَقَرّ
مقرون	مَقْرُون
مقرة	مَقَرّ
مقرية	مَقَرّ
المقس	NOTFOUND
المقشعر	مُقْشَعِرّ
المقطعة	مُقْطَع,مُقَطَّع,مُقْطِع
المقطم	مُقَطَّم
مقلص	مُقَلِّص
مقلاص	NOTFOUND
مقمل	مُقْمَل
مقناص	NOTFOUND
مقنا	NOTFOUND
المقنعة	مُقَنَّع,مُقْنِع
مقولة	مِقْوَل,مَقُولَة,مَقُول
المقياس	مِقْياس
المقيلة	NOTFOUND
مكا	NOTFOUND
مكادة	NOTFOUND
المكتب	مَكْتَب
مكتومة	مَكْتُوم
مكحول	NOTFOUND
مكران	مَكَرّ
مكروثا	NOTFOUND
مكز	NOTFOUND
مكس	مَكْس,مَكَس-ِ,مَكَّس
المكسر	مَكْسِر,مُكَسَّر
مكشحة	NOTFOUND
مكمن	مَكْمَن
مكناسة	مِكْناس
مكنونة	مَكْنُون
مكة	مَكَّة
مكيمن	NOTFOUND
الملا	مُلّا
ملاح	مِلْح,مَلّاح,مَلِيح
ملاص	NOTFOUND
ملاظ	NOTFOUND
ملاع	NOTFOUND
ملاق	مَلّاق,مَلْقَى
ملالة	مَلالَة,مَلال,مُلال
ملبران	NOTFOUND
الملبط	NOTFOUND
ملتان	مُلَّة,مَلّ
ملتذ	NOTFOUND
الملتزم	مُلْتَزِم,مُلْتَزَم
ملتوى	مُلْتَوَى,مُلْتَوِي
ملجان	NOTFOUND
ملج	مَلَج,مَلْج
ملجكان	NOTFOUND
ملحاء	أَمْلَح
ملحان	مُلِحّ,مِلْح
ملحا	مَلُح,مُلِحّ,مَلَّح,مِلْح,مَلَح-َُ,مُلْحَة
ملحتان	مُلِحّ,مِلْح
ملح	مَلُح,مُلِحّ,مَلَّح,مِلْح,مَلَح-َُ,مُلْحَة
ملحة	مِلْحَة,مُلِحّ,مَلَّح,مِلْح,مُلْحَة
ملحوب	NOTFOUND
مليحيب	NOTFOUND
ملزق	NOTFOUND
ملشون	NOTFOUND
ملطاط	NOTFOUND
ملطمة	مَلْطَم
ملطية	NOTFOUND
ملفون	NOTFOUND
ملقاباذ	NOTFOUND
ملقس	NOTFOUND
ملقونية	NOTFOUND
ملكان	مَلِك
ملك	مَلِك,مَلَك-ِ,مِلْك,مَلَّك,مَلّ,مُلْك
ملكوم	NOTFOUND
ملل	مِلَّة,مُلَّة,مَلَل
ملمار	NOTFOUND
ملنجة	NOTFOUND
الملوحة	مُلَوِّحَة,مُلُوحَة
ملود	NOTFOUND
ملوندة	NOTFOUND
ملوية	مَلْوِيّ,مَلَو
ملهم	مُلْهَم,مَلّ
الملة	مِلَّة,مُلَّة,مَلَّة,مَلّ
مليانة	NOTFOUND
مليبار	NOTFOUND
مليج	NOTFOUND
مليح	مَلِيح
مليحة	مَلِيح
مليحيب	NOTFOUND
مليص	مَلِيص
مليع	NOTFOUND
المليل	NOTFOUND
مليلة	مَلِيلَّة
الممالح	مَمْلَحَة
ممدوداباذ	NOTFOUND
الممدور	NOTFOUND
ممروخ	NOTFOUND
ممسى	مُمْسِي,مُمْسَى
ممطير	NOTFOUND
الممنع	NOTFOUND
الممهمى	NOTFOUND
منى	مُنَى,مَنَى-ِ,مَنّ,مِنَى,مَنَّى,مِن,مَنَى
منابض	مَنْبِض
مناذر	NOTFOUND
المنارة	مَنار
مناز	NOTFOUND
المنازل	مَنْزِلَة,مُنازِل,مَنْزِل
المناشك	NOTFOUND
المناصب	مَنْصِب,مِنْصَب
المناصع	NOTFOUND
المناصف	NOTFOUND
